순위,종목명,가격
1,삼성전자,"66,800"
2,LG에너지솔루션,"536,000"
3,SK하이닉스,"116,700"
4,삼성바이오로직스,"779,000"
5,POSCO홀딩스,"568,000"
6,삼성전자우,"55,000"
7,LG화학,"600,000"
8,삼성SDI,"615,000"
9,현대차,"187,800"
10,NAVER,"223,000"
11,포스코퓨처엠,"426,000"
12,기아,"78,300"
13,카카오,"50,600"
14,현대모비스,"231,500"
15,셀트리온,"147,600"
16,KB금융,"51,000"
17,삼성물산,"103,700"
18,신한지주,"34,600"
19,SK이노베이션,"184,500"
20,LG전자,"99,700"
21,포스코인터내셔널,"87,500"
22,삼성생명,"68,500"
23,LG,"81,400"
24,카카오뱅크,"26,800"
25,한국전력,"18,440"
26,KT&G,"85,400"
27,삼성화재,"247,000"
28,HD현대중공업,"126,800"
29,하나금융지주,"37,800"
30,삼성전기,"145,900"
31,SK,"147,000"
32,두산에너빌리티,"16,410"
33,삼성에스디에스,"135,300"
34,하이브,"249,500"
35,메리츠금융지주,"49,800"
36,SK텔레콤,"47,350"
37,고려아연,"478,500"
38,한화오션,"41,750"
39,대한항공,"24,250"
40,KT,"32,400"
41,S-Oil,"73,500"
42,기업은행,"10,370"
43,우리금융지주,"11,350"
44,HMM,"16,820"
45,HD한국조선해양,"114,800"
46,크래프톤,"159,500"
47,삼성중공업,"8,760"
48,아모레퍼시픽,"126,100"
49,금양,"126,600"
50,LG생활건강,"467,500"
